Item ID,Description,Customer ID,Customer Name,Invoice Number,Sales Rep 1 ID,Country,Bill to State,Invoice Date,Qty Order Sell,Amount
712-R0025-003IN,"TOOL, INSERTION, RAPID RH L6, SMART SENSOR",HER064,"HERNANDEZ, ALONSO",144856,INO,USA,AL,2/6/2026,1,26
712-RRP01-001IN,"ADAPTER,VACUUM,RELATIVE HUMIDITY",HER064,"HERNANDEZ, ALONSO",144856,INO,USA,AL,2/6/2026,1,28
713-R0000-001IN,"DRILL BIT, 3/4"" SDS MASONRY",HER064,"HERNANDEZ, ALONSO",144856,INO,USA,AL,2/6/2026,1,75
880-R4100-005IN,"KIT, 5 PACK, BLUETOOTH, SMART LOGGER, DATA, V2 - NO CHARGE DEMO",ITA001,ITAC INT,145161,RHP,USA,AL,2/23/2026,1,-
712-R0025-001,"TOOL,INSERTION,RAPID RH4.0 SMART SENSOR",TOR018,"TORRES, MARCUS",145273,INO,USA,AZ,2/26/2026,1,24
712-R0060-002,"TOOL, HOOK EXTRACTION, RHP 5.0",TOR018,"TORRES, MARCUS",145273,INO,USA,AZ,2/26/2026,1,17
712-RRP01-001,VACUUM ATTACHMENT,TOR018,"TORRES, MARCUS",145273,INO,USA,AZ,2/26/2026,1,28
714-R0005-001MA,"BRUSH,WIRE,SS,3/4""x5"",RHPIII",BIG002,KJB SUPPLY COMPANY INC,145142,DRH,USA,AZ,2/20/2026,1,14.25
860-R0040-002,"EASY READER,RAPID RH5.0",TOR018,"TORRES, MARCUS",145273,INO,USA,AZ,2/26/2026,1,152
860-R0040-003MA,"TOTAL READER, RAPID RH L6, W/ LCD and BLUETOOTH",BIG002,KJB SUPPLY COMPANY INC,145142,DRH,USA,AZ,2/20/2026,3,546
880-R0000-009MA,"PACK, 5 ,RAPID RH L6, SMART SENSOR",BIG002,KJB SUPPLY COMPANY INC,145142,DRH,USA,AZ,2/20/2026,25,"4,532.50"
880-R0001-011MA,"PACK, 5, RAPID RH L6 SMART SENSOR W/READER",BIG002,KJB SUPPLY COMPANY INC,145142,DRH,USA,AZ,2/20/2026,6,"2,091.60"
880-R0002-012MA,"KIT, RAPID RH L6 STARTER KIT PLUS-FAHRENHEIT",BIG002,KJB SUPPLY COMPANY INC,145142,DRH,USA,AZ,2/20/2026,2,"1,246.00"
880-R0020-002,"TOOL,REMOVAL,BRAIN MODULE, 5.0",TOR018,"TORRES, MARCUS",145273,INO,USA,AZ,2/26/2026,1,30
880-R0040-011MA,"VALUE PACK, 25PC, RHP L6 SMART SENSOR",BIG002,KJB SUPPLY COMPANY INC,145142,DRH,USA,AZ,2/20/2026,2,"1,762.50"
880-R0100-011MA,"SUPER VALUE PACK,RAPID RH L6, SMART SENSOR",BIG002,KJB SUPPLY COMPANY INC,145142,DRH,USA,AZ,2/20/2026,2,"5,496.00"
880-RRP50-100,"PACK, SLEEVE, 100 PC, RHP5.0",TOR018,"TORRES, MARCUS",145273,INO,USA,AZ,2/26/2026,1,260
880-RRP55-010,"PACK, SMART SENSOR, REUSABLE, 10 PC",TOR018,"TORRES, MARCUS",145273,INO,USA,AZ,2/26/2026,1,975
694-R0003-002,RAPID RH® L6 DATAGRABBER® RANGE EXTENDER (DGRE),IND010,INDEPENDENT FLOOR TESTING & IN,144805,RHP,USA,CA,2/4/2026,5,495
712-R0025-003,"TOOL, INSERTION, RAPID RH L6, SMART SENSOR,GREEN",CHA092,"CHAVEZ, MICHAEL",144819,AMA,USA,CA,2/5/2026,1,26
712-R0025-003,"TOOL, INSERTION, RAPID RH L6, SMART SENSOR,GREEN",IND010,INDEPENDENT FLOOR TESTING & IN,144805,RHP,USA,CA,2/4/2026,1,26
712-R0025-004,"EXTRACTION TOOL, RAPID RH L6, DATA GRABBER W/ BLUETOOTH",IND010,INDEPENDENT FLOOR TESTING & IN,144805,RHP,USA,CA,2/4/2026,1,5
712-R0068-002,RAPID RH® L6 PROTECTIVE DOME,IND010,INDEPENDENT FLOOR TESTING & IN,144805,RHP,USA,CA,2/4/2026,5,50
712-RRP01-001MA,"ADAPTER,VACUUM,RELATIVE HUMIDITY",TEM009,TEMPLETON FLOOR CO,145062,INO,USA,CA,2/18/2026,1,28
860-R0040-003MA,"TOTAL READER, RAPID RH L6, W/ LCD and BLUETOOTH",DES002,DESOTO SALES INC,145241,DUS,USA,CA,2/25/2026,3,546
880-R0000-009,"PACK, 5 ,RAPID RH L6, SMART SENSOR",IND010,INDEPENDENT FLOOR TESTING & IN,144805,RHP,USA,CA,2/4/2026,1,259
880-R0000-009,"PACK, 5 ,RAPID RH L6, SMART SENSOR",STO047,"STOUT, RANDY",145148,RHP,USA,CA,2/20/2026,2,518
880-R0000-009MA,"PACK, 5 ,RAPID RH L6, SMART SENSOR",DES002,DESOTO SALES INC,145241,DUS,USA,CA,2/25/2026,6,"1,087.80"
880-R0040-011MA,"VALUE PACK, 25PC, RHP L6 SMART SENSOR",DES002,DESOTO SALES INC,145241,DUS,USA,CA,2/25/2026,4,"3,525.00"
880-R0040-011MA,"VALUE PACK, 25PC, RHP L6 SMART SENSOR",TEM009,TEMPLETON FLOOR CO,145062,INO,USA,CA,2/18/2026,1,"1,175.00"
880-R0041-001,"PACK, 5, DATA GRABBER w/BLUETOOTH, RAPID RH L6",IND010,INDEPENDENT FLOOR TESTING & IN,144805,RHP,USA,CA,2/4/2026,1,560
880-RRP55-005,"PACK, SMART SENSOR, REUSABLE, 5 PC,",RMA003,RMA GROUP,144793,INO,USA,CA,2/3/2026,1,540
890-00080-001,Floor Sentry® Wood Floor Data Logger,COL109,THE COLORADO FLOOR COMPANY,144846,RHP,USA,CO,2/6/2026,40,"6,804.00"
714-R0005-001IN,"BRUSH,WIRE,SS,3/4""x5""",HOR029,HORIZON TILE AND CARPET SE,145071,INO,USA,FL,2/19/2026,2,38
880-R0000-009IN,"PACK, 5 ,RAPID RH L6, SMART SENSOR",WHI078,WHITE CAP - SANFORD,144821,RHP,USA,FL,2/5/2026,1,259
880-R0025-001IN,"KIT,TEST,pH,25 STRIP",DYN012,DYNASTY FLOORING INC,145275,INO,USA,FL,2/26/2026,1,39
880-R4100-020IN,"KIT, 20 PACK, BLUETOOTH, SMART LOGGER, DATA, V2",HOR029,HORIZON TILE AND CARPET SE,144789,INO,USA,FL,2/3/2026,1,"1,580.00"
712-RRP01-001MA,"ADAPTER,VACUUM,RELATIVE HUMIDITY",SPE018,DIVERZIFY+ LLC,145069,RHP,USA,GA,2/19/2026,1,28
713-R0000-001MA,"DRILL BIT, 3/4"" SDS MASONRY",SPE018,DIVERZIFY+ LLC,145069,RHP,USA,GA,2/19/2026,1,75
714-R0005-001MA,"BRUSH,WIRE,SS,3/4""x5"",RHPIII",SPE018,DIVERZIFY+ LLC,145069,RHP,USA,GA,2/19/2026,1,19
880-R0001-013,TRUE REMOTE MONITORING™ KIT FOR RAPID RH L6 WITH FLOORCLOUD™,SPE032,SPECTRA CONTRACT FLOORING - TI,145030,RHP,USA,GA,2/16/2026,1,"1,674.00"
880-R0002-012IN,"KIT, RAPID RH L6 STARTER KIT PLUS-FAHRENHEIT",HEY001,HEYDEN SUPPLY,145298,RHP,USA,GA,2/27/2026,1,756.5
880-R0040-011IN,"VALUE PACK, 25PC, RHP L6 SMART SENSOR",HEY001,HEYDEN SUPPLY,145298,RHP,USA,GA,2/27/2026,1,998.75
880-R0040-012MA,"KIT,UPGRADE,4.0 TO L6,25 PK,FAHRENHEIT",SPE018,DIVERZIFY+ LLC,145069,RHP,USA,GA,2/19/2026,1,"1,440.00"
880-R0050-011MA,"VALUE PACK, 50PC, RHP L6, SMART SENSOR",SPE063,SPECTRA CONTRACT FLOORING,145244,RHP,USA,GA,2/25/2026,1,"2,184.00"
880-R0100-011,"SUPER VALUE PACK,RAPID RH L6, SMART SENSOR",SPE018,DIVERZIFY+ LLC,145176,RHP,USA,GA,2/24/2026,5,"17,100.00"
880-R0100-011MA,"SUPER VALUE PACK,RAPID RH L6, SMART SENSOR",SPE018,DIVERZIFY+ LLC,145176,RHP,USA,GA,2/24/2026,-,-
880-RRP50-052,Rapid RH 5.0 Complete Starter Kit Plus-Fahrenheit,DOW015,"DOWDY, RICK",145150,INO,USA,GA,2/20/2026,1,"1,299.00"
880-R0040-011MA,"VALUE PACK, 25PC, RHP L6 SMART SENSOR",KAH002,KAHULUI CARPET,145144,INO,USA,HI,2/20/2026,1,"1,175.00"
880-R0040-011IN,"VALUE PACK, 25PC, RHP L6 SMART SENSOR",TER068,TERRACON CONSULTANTS - BETTEND,144923,RHP,USA,IA,2/10/2026,1,"1,175.00"
674-R4100-002,"BLUETOOTH, SMART LOGGER,V2 - INCLUDES TISE SHOW DISCOUNT",AIK001,"AIKEN, ADAM",144848,RHP,USA,ID,2/6/2026,2,178.2
674-R4100-002MA,"BLUETOOTH, SMART LOGGER,V2 - INCLUDES TISE SHOW DISCOUNT",AIK001,"AIKEN, ADAM",144848,RHP,USA,ID,2/6/2026,-,-
880-RRP60-025,"PACK, FINNED BASE 25 PC, RHP5.0",VER007,VERITAS MATERIAL CONSULTING,145003,INO,USA,ID,2/12/2026,1,69
890-00080-001MA,Floor Sentry® Wood Floor Data Logger,PON007,PONY GO ROUND,144808,INO,USA,ID,2/4/2026,1,189
860-R0040-003IN,"TOTAL READER, RAPID RH L6, W/ LCD and BLUETOOTH",CAR019,ALL TILE - CCS,145299,DRH,USA,IL,2/27/2026,2,364
860-R0040-003MA,"TOTAL READER, RAPID RH L6, W/ LCD and BLUETOOTH",CAR019,ALL TILE - CCS,145052,DRH,USA,IL,2/18/2026,2,364
880-R0000-009IN,"PACK, 5 ,RAPID RH L6, SMART SENSOR",CAR019,ALL TILE - CCS,145299,DRH,USA,IL,2/27/2026,6,"1,087.80"
880-R0000-009IN,"PACK, 5 ,RAPID RH L6, SMART SENSOR",MID057,MIDWEST ENGINEERING & TESTING,144920,INO,USA,IL,2/10/2026,4,"1,036.00"
880-R0000-009MA,"PACK, 5 ,RAPID RH L6, SMART SENSOR",CAR019,ALL TILE - CCS,145052,DRH,USA,IL,2/18/2026,21,"3,807.30"
880-R0001-011IN,"PACK, 5, RAPID RH L6 SMART SENSOR W/READER",FLO054,FLOORS INCORPORATED,144807,INO,USA,IL,2/4/2026,1,498
880-R0002-012IN,"KIT, RAPID RH L6 STARTER KIT PLUS-FAHRENHEIT",CAR019,ALL TILE - CCS,145299,DRH,USA,IL,2/27/2026,3,"1,869.00"
880-R0002-012MA,"KIT, RAPID RH L6 STARTER KIT PLUS-FAHRENHEIT",CAR019,ALL TILE - CCS,145052,DRH,USA,IL,2/18/2026,3,"1,869.00"
880-R0040-011IN,"VALUE PACK, 25PC, RHP L6 SMART SENSOR",CAR019,ALL TILE - CCS,145299,DRH,USA,IL,2/27/2026,1,881.25
880-R0040-011MA,"VALUE PACK, 25PC, RHP L6 SMART SENSOR",CAR019,ALL TILE - CCS,145052,DRH,USA,IL,2/18/2026,3,"2,643.75"
880-R0050-011IN,"VALUE PACK, 50PC, RHP L6, SMART SENSOR",FLO054,FLOORS INCORPORATED,144806,INO,USA,IL,2/4/2026,1,"2,184.00"
880-R0050-012,"KIT,UPGRADE,4.0 TO L6,50 PK,FAHRENHEIT",OCO004,"OCONNOR, DAN",145173,AMA,USA,IL,2/23/2026,1,"2,449.00"
880-R0100-011MA,"SUPER VALUE PACK,RAPID RH L6, SMART SENSOR",CAR019,ALL TILE - CCS,145052,DRH,USA,IL,2/18/2026,2,"5,496.00"
880-RRP55-050,"PACK, SMART SENSOR, REUSABLE, 50 PC",SUR015,SURFACE TESTING GROUP,145037,RHP,USA,IN,2/16/2026,1,"3,187.50"
890-00080-001IN,Floor Sentry® Wood Floor Data Logger,FOU018,FOUR STAR FLOOR CARE INC,144782,RHP,USA,IN,2/2/2026,2,378
880-R0025-001IN,"KIT,TEST,pH,25 STRIP",NEW067,"NEWELL, JOHN",144855,INO,USA,LA,2/6/2026,1,39
860-R0040-003IN,"TOTAL READER, RAPID RH L6, W/ LCD and BLUETOOTH",PUT003,"PUTNAM, DALE",144764,INO,USA,MA,2/2/2026,1,260
880-R0000-009IN,"PACK, 5 ,RAPID RH L6, SMART SENSOR",MAR173,MARTIGNETTI CONSTRUCTION,144827,INO,USA,MA,2/5/2026,1,259
860-R0040-003IN,"TOTAL READER, RAPID RH L6, W/ LCD and BLUETOOTH",LFI002,L FISHMAN & SON INC,145158,DUS,USA,MD,2/23/2026,1,182
860-R0040-003IN,"TOTAL READER, RAPID RH L6, W/ LCD and BLUETOOTH",LFI002,L FISHMAN & SON INC,145139,DUS,USA,MD,2/20/2026,3,546
860-R0040-003IN,"TOTAL READER, RAPID RH L6, W/ LCD and BLUETOOTH",LFI002,L FISHMAN & SON INC,145306,DUS,USA,MD,2/27/2026,4,728
860-R0040-003IN,"TOTAL READER, RAPID RH L6, W/ LCD and BLUETOOTH",LFI002,L FISHMAN & SON INC,145040,DUS,USA,MD,2/17/2026,2,364
860-R0040-003IN,"TOTAL READER, RAPID RH L6, W/ LCD and BLUETOOTH",LFI002,L FISHMAN & SON INC,145057,DUS,USA,MD,2/18/2026,2,364
860-R0040-003IN,"TOTAL READER, RAPID RH L6, W/ LCD and BLUETOOTH",LFI002,L FISHMAN & SON INC,144822,DUS,USA,MD,2/5/2026,1,182
860-R0040-003IN,"TOTAL READER, RAPID RH L6, W/ LCD and BLUETOOTH",LFI002,L FISHMAN & SON INC,144904,DUS,USA,MD,2/9/2026,9,"1,638.00"
860-R0040-003IN,"TOTAL READER, RAPID RH L6, W/ LCD and BLUETOOTH",LFI002,L FISHMAN & SON INC,144902,DUS,USA,MD,2/9/2026,4,728
860-R0040-003MA,"TOTAL READER, RAPID RH L6, W/ LCD and BLUETOOTH",LFI002,L FISHMAN & SON INC,144998,DUS,USA,MD,2/12/2026,2,364
880-R0000-009IN,"PACK, 5 ,RAPID RH L6, SMART SENSOR",LFI002,L FISHMAN & SON INC,145158,DUS,USA,MD,2/23/2026,3,543.9
880-R0000-009IN,"PACK, 5 ,RAPID RH L6, SMART SENSOR",LFI002,L FISHMAN & SON INC,145294,DUS,USA,MD,2/27/2026,2,362.6
880-R0000-009IN,"PACK, 5 ,RAPID RH L6, SMART SENSOR",LFI002,L FISHMAN & SON INC,145306,DUS,USA,MD,2/27/2026,2,362.6
880-R0000-009IN,"PACK, 5 ,RAPID RH L6, SMART SENSOR",LFI002,L FISHMAN & SON INC,145040,DUS,USA,MD,2/17/2026,5,906.5
880-R0000-009IN,"PACK, 5 ,RAPID RH L6, SMART SENSOR",LFI002,L FISHMAN & SON INC,145057,DUS,USA,MD,2/18/2026,3,543.9
880-R0000-009IN,"PACK, 5 ,RAPID RH L6, SMART SENSOR",LFI002,L FISHMAN & SON INC,144822,DUS,USA,MD,2/5/2026,4,725.2
880-R0000-009IN,"PACK, 5 ,RAPID RH L6, SMART SENSOR",LFI002,L FISHMAN & SON INC,144820,DUS,USA,MD,2/5/2026,5,906.5
880-R0000-009IN,"PACK, 5 ,RAPID RH L6, SMART SENSOR",LFI002,L FISHMAN & SON INC,144904,DUS,USA,MD,2/9/2026,5,906.5
880-R0000-009IN,"PACK, 5 ,RAPID RH L6, SMART SENSOR",LFI002,L FISHMAN & SON INC,144901,DUS,USA,MD,2/9/2026,4,725.2
880-R0000-009IN,"PACK, 5 ,RAPID RH L6, SMART SENSOR",LFI002,L FISHMAN & SON INC,144902,DUS,USA,MD,2/9/2026,11,"1,994.30"
